parameters_m,tokens_b,task,task_label,n,base_acc,hq_acc,gap_acc_pp,base_acc_norm,hq_acc_norm,gap_acc_norm_pp
56,1.049,arc_challenge,ARC-C,1172,0.183447,0.202218,1.8771000000000009,0.213311,0.231229,1.791799999999999
56,1.049,arc_easy,ARC-E,2376,0.41792929292929293,0.45075757575757575,3.282828282828282,0.38552188552188554,0.4010942760942761,1.557239057239057
56,1.049,csqa,CSQA,1221,0.2194922194922195,0.2113022113022113,-0.8190008190008202,0.257985257985258,0.27354627354627353,1.5561015561015523
56,1.049,hellaswag,HellaSwag,10042,0.2640908185620394,0.2674765982871938,0.33857797251543587,0.2688707428799044,0.2689703246365266,0.009958175662216906
56,1.049,mmlu,MMLU,14042,0.2293832787352229,0.22931206380857427,-0.007121492664863283,0.2293832787352229,0.22931206380857427,-0.007121492664863283
56,1.049,openbookqa,OpenBookQA,500,0.142,0.162,2.0000000000000018,0.276,0.284,0.7999999999999952
56,1.049,piqa,PIQA,1838,0.5723612622415669,0.5707290533188248,-0.16322089227420733,0.5631120783460283,0.5658324265505985,0.2720348204570233
56,1.049,sciq,SciQ,1000,0.611,0.628,1.7000000000000015,0.556,0.553,-0.30000000000000027
56,1.049,siqa,SIQA,1954,0.34851586489252817,0.3618219037871034,1.3306038894575212,0.3971340839303992,0.39815762538382804,0.10235414534288667
56,1.049,winogrande,WinoGrande,1267,0.5035516969218626,0.4996053670086819,-0.3946329913180724,0.494869771112865,0.4988161010260458,0.39463299131807794
56,2.097,arc_challenge,ARC-C,1172,0.191126,0.207338,1.6212000000000004,0.221843,0.237201,1.5357999999999983
56,2.097,arc_easy,ARC-E,2376,0.44402356902356904,0.48484848484848486,4.082491582491582,0.39941077441077444,0.4297138047138047,3.0303030303030276
56,2.097,csqa,CSQA,1221,0.24897624897624898,0.24488124488124488,-0.4095004095004101,0.27764127764127766,0.26945126945126946,-0.8190008190008202
56,2.097,hellaswag,HellaSwag,10042,0.27325234017128064,0.27394941246763593,0.06970722963552944,0.27823142800239,0.27972515435172274,0.1493726349332758
56,2.097,mmlu,MMLU,14042,0.22931206380857427,0.23030907278165502,0.09970089730807485,0.22931206380857427,0.23030907278165502,0.09970089730807485
56,2.097,openbookqa,OpenBookQA,500,0.16,0.146,-1.4000000000000012,0.29,0.274,-1.5999999999999959
56,2.097,piqa,PIQA,1838,0.5984766050054406,0.5810663764961915,-1.7410228509249115,0.5963003264417845,0.5761697497279652,-2.013057671381935
56,2.097,sciq,SciQ,1000,0.706,0.72,1.4000000000000012,0.62,0.632,1.200000000000001
56,2.097,siqa,SIQA,1954,0.3510747185261003,0.3766632548618219,2.558853633572161,0.3971340839303992,0.4124872057318321,1.5353121801432945
56,2.097,winogrande,WinoGrande,1267,0.5090765588003157,0.5201262825572218,1.104972375690616,0.4996053670086819,0.4988161010260458,-0.07892659826361226
56,3.146,arc_challenge,ARC-C,1172,0.186007,0.203072,1.7064999999999997,0.225256,0.239761,1.450499999999999
56,3.146,arc_easy,ARC-E,2376,0.45791245791245794,0.5004208754208754,4.250841750841749,0.4225589225589226,0.4436026936026936,2.104377104377103
56,3.146,csqa,CSQA,1221,0.2571662571662572,0.25634725634725636,-0.08190008190008258,0.2858312858312858,0.2719082719082719,-1.3923013923013927
56,3.146,hellaswag,HellaSwag,10042,0.2748456482772356,0.27942640908185623,0.45807608046206094,0.28281218880701053,0.2887870942043418,0.5974905397331254
