parameters_m,stage,n_checkpoints,mean_gap_macro10_acc_pp,positive_checkpoint_fraction
56,1-5B,4,0.8964113508140237,1.0
56,5-10B,5,1.2921128483885904,1.0
56,10-15B,5,1.1228747568235415,1.0
56,15-20B,6,0.9281163064333319,1.0
143,1-5B,4,0.45365338265635885,1.0
143,5-10B,5,0.7789286350717767,1.0
143,10-15B,5,0.9173625925932141,1.0
143,15-20B,6,0.6330989624503872,1.0
263,1-5B,4,0.5445866947100799,0.75
263,5-10B,4,1.090637763086048,1.0
263,10-15B,5,0.7871884617057718,1.0
263,15-20B,6,0.7867610733243705,1.0
469,1-5B,4,0.8762630942420928,1.0
469,5-10B,5,1.602991989284322,1.0
469,10-15B,5,0.9873144813522675,1.0
469,15-20B,6,1.0018490058993237,1.0
803,1-5B,4,0.639312109967741,1.0
803,5-10B,5,0.7659282276410013,1.0
803,10-15B,5,0.31060162285912496,0.8
803,15-20B,7,0.8369987988394423,1.0
