condition,seed,tokens,en_test_bpb,zh_test_bpb,mean_test_bpb,en_forgetting_bpb,zh_forgetting_bpb,median_tokens_per_second,peak_memory_gib,elapsed_wall_clock_minutes,thermal_pacing_ms_per_update
en_only,2027,100663296,1.3126126665198188,3.1709418688009885,2.2417772676604035,0.0,0.0,68883.75026277066,17.115631103515625,24.316666666666666,0.0
en_only,2028,100663296,1.3121426601227206,3.2007566591542673,2.256449659638494,0.0,0.011277987869281692,68782.53568429891,17.115631103515625,24.4,0.0
zh_only,2027,100663296,2.1513801076760575,1.6465707035640271,1.8989754056200423,0.0,0.0,68970.74300147337,17.115631103515625,24.316666666666666,0.0
zh_only,2028,100663296,2.1342573620530088,1.63574419240785,1.8850007772304294,0.0,0.0,69645.0584484591,17.115631103515625,24.066666666666666,0.0
iid_50,2027,100663296,1.4187820344946442,1.7865040140730635,1.6026430242838539,0.0,0.0,68869.27280369903,17.115631103515625,24.316666666666666,0.0
iid_50,2028,100663296,1.4073027997774967,1.7723782386984013,1.589840519237949,0.0,0.0,68753.67184221568,17.115631103515625,24.4,0.0
en_first,2027,100663296,1.7167361259523402,1.822645279788478,1.7696907028704092,0.30538816157560156,0.0,68985.26315789473,17.115631103515625,24.316666666666666,0.0
en_first,2028,100663296,1.7195770403114348,1.8224292199385375,1.7710031301249862,0.3106952449924181,0.0,69674.67573889007,17.115631103515625,24.066666666666666,0.0
zh_first,2027,100663296,1.4229029991652657,2.628421302691076,2.025662150928171,0.0,0.8395446610595592,69072.5126475548,17.115631103515625,24.216666666666665,0.0
zh_first,2028,100663296,1.424962785974608,2.6038039103057056,2.0143833481401567,0.0,0.8140011583162872,68927.21918384518,17.115631103515625,24.3,0.0
alternating,2027,100663296,1.4773830618072625,1.8554877930302158,1.6664354274187392,0.013677578229698506,0.0,69087.07569049126,17.115631103515625,24.2,0.0
alternating,2028,100663296,1.479470260557711,1.8638375866912937,1.6716539236245023,0.012123578260268664,0.0,68912.72344900106,17.115631103515625,24.316666666666666,0.0
