condition,seed,tokens,en_test_bpb,zh_test_bpb,mean_test_bpb,en_forgetting_bpb,zh_forgetting_bpb,median_tokens_per_second,peak_memory_gib,elapsed_wall_clock_minutes,thermal_pacing_ms_per_update
en_only,2027,100663296,1.3091443193541592,3.1428074085413753,2.225975863947767,0.0,0.0,38681.19871931392,4.833489894866943,46.13519078999913,0.0
en_only,2028,100663296,1.3224976489436562,3.149192167689228,2.2358449083164422,0.0,0.006283454092618435,38676.36377027927,4.834954738616943,44.924047348333985,0.0
zh_only,2027,100663296,2.1454650189231526,1.6447002673505724,1.8950826431368624,0.0,0.0,36589.09424343047,4.834954738616943,47.074514948336095,0.0
zh_only,2028,100663296,2.12865952671837,1.63789030785877,1.88327491728857,0.0,0.0,38734.31420377125,4.834954738616943,282.4935202249986,0.0
iid_50,2027,100663296,1.4218009813072534,1.7915045519325692,1.6066527666199113,0.0,0.0,38786.92609953162,4.834954738616943,44.94775023666443,0.0
iid_50,2028,100663296,1.4164872348891546,1.785455892174872,1.6009715635320134,0.0,0.0,38731.633560967966,4.834954738616943,384.21759142500036,0.0
en_first,2027,100663296,1.71698766101436,1.8420200678465048,1.7795038644304324,0.2942893471435837,0.0,38716.488388477446,4.834954738616943,45.18128290832974,0.0
en_first,2028,100663296,1.743534118278362,1.8438909323762114,1.7937125253272868,0.3137411772714227,0.0,38676.18345898927,4.834954738616943,45.18992094833326,0.0
zh_first,2027,100663296,1.4172762480658008,2.6644120051879443,2.0408441266268724,0.0,0.8906328127871206,38500.12364029841,4.834954738616943,46.328919501668615,0.0
zh_first,2028,100663296,1.4205678914454924,2.654032661412688,2.0373002764290904,0.0,0.8662886018955163,38000.80157860521,4.834954738616943,45.81928091333248,0.0
alternating,2027,100663296,1.4968812802501095,1.8904637659087622,1.6936725230794358,0.012914592872147912,0.0,38672.92206254584,4.834954738616943,44.93329353833494,0.0
alternating,2028,100663296,1.493963113620733,1.888748900861957,1.691356007241345,0.011614278068656336,0.0,38695.44348950172,4.833489894866943,57.702639309999846,250.0
