condition,seed,tokens,en_test_bpb,zh_test_bpb,mean_test_bpb,en_forgetting_bpb,zh_forgetting_bpb,median_tokens_per_second,peak_memory_gib,elapsed_wall_clock_minutes,thermal_pacing_ms_per_update
en_only,2027,331350016,1.1035349018245018,2.984283274714654,2.043909088269578,0.0,0.0,39360.96096096096,31.70631170272827,138.76666666666668,0.0
en_only,2028,331350016,1.1099600177606823,2.9671801687896524,2.038570093275167,0.0,0.001931579446379672,39446.250150475506,31.70631170272827,138.21666666666667,0.0
zh_only,2027,331350016,1.9870192257220163,1.375995490006518,1.6815073578642672,0.0,0.0,39408.29825616356,31.70631170272827,138.65,0.0
zh_only,2028,331350016,1.981844126212307,1.3743031592363812,1.6780736427243441,0.0,0.0,39465.25352282308,31.70631170272827,138.15,0.0
iid_50,2027,331350016,1.2032858277932257,1.4900206677948633,1.3466532477940445,0.0,0.0,55822.82793867121,31.70631170272827,108.65,0.0
iid_50,2028,331350016,1.1913556876996079,1.4764191287927355,1.3338874082461718,0.0,0.0,56341.127922971114,31.70631170272827,107.75,0.0
en_first,2027,331350016,1.6571198976587782,1.5065961249703768,1.5818580113145775,0.45788457535235194,0.0,55899.010576595014,31.70631170272827,108.51666666666667,0.0
en_first,2028,331350016,1.6527692438599446,1.4967788710406218,1.5747740574502833,0.45578199435622846,0.0,56447.88975021533,31.70631170272827,107.35,0.0
zh_first,2027,331350016,1.182420278477804,2.571403655568197,1.8769119670230006,0.0,1.0784205934670856,39323.17292691708,31.70631170272827,138.71666666666667,0.0
zh_first,2028,331350016,1.1833432255421108,2.590850175797343,1.8870967006697268,0.0,1.103977874435717,39403.559403559404,31.70631170272827,138.25,0.0
alternating,2027,331350016,1.251413963985895,1.5549955813158873,1.4032047726508912,0.03910238477289463,0.03787694963304422,39394.08511661457,31.70631170272827,138.76666666666668,0.0
alternating,2028,331350016,1.2490262380320212,1.5542816176041097,1.4016539278180655,0.03699881867001764,0.037062791846580456,39479.51807228916,31.70631170272827,138.11666666666667,0.0
