condition,language,bpb_43m,bpb_143m,absolute_reduction,relative_reduction_pct,iid_scale_dividend_capture_pct
en_only,EN,1.3123776633212696,1.106747459792592,0.20563020352867767,15.668523571811162,95.32200156000657
en_only,ZH,3.1858492639776284,2.9757317217521533,0.21011754222547507,6.5953384738340395,70.93264165398188
en_only,Mean,2.249113463649449,2.0412395907723724,0.2078738728770766,9.242480481165988,81.20979037317066
zh_only,EN,2.142818734864533,1.9844316759671616,0.15838705889737126,7.391528565638771,73.42195463612671
zh_only,ZH,1.6411574479859385,1.3751493246214497,0.26600812336448887,16.20856814749489,89.80049305647083
zh_only,Mean,1.8919880914252358,1.6797905002943057,0.21219759113093017,11.21558809448328,82.89893123617722
iid_50,EN,1.4130424171360705,1.1973207577464169,0.2157216593896536,15.266467359619286,100.0
iid_50,ZH,1.7794411263857324,1.4832198982937994,0.29622122809193296,16.646868710604398,100.0
iid_50,Mean,1.5962417717609014,1.3402703280201083,0.25597144374079317,16.035881798683736,100.0
en_first,EN,1.7181565831318875,1.6549445707593615,0.06321201237252594,3.6790600456974603,29.302580256138018
en_first,ZH,1.8225372498635077,1.5016874980054993,0.32084975185800846,17.60456483849849,108.31423322518667
en_first,Mean,1.7703469164976977,1.5783160343824303,0.19203088211526742,10.847076373887488,75.02043169695347
zh_first,EN,1.4239328925699368,1.1828817520099575,0.24105114055997934,16.928546409580186,111.74174222560268
zh_first,ZH,2.616112606498391,2.58112691568277,0.03498569081562097,1.337315936963759,11.8106629430228
zh_first,Mean,2.0200227495341636,1.8820043338463637,0.13801841568779993,6.832517887218264,53.91945822970896
alternating,EN,1.4784266611824868,1.2502201010089582,0.22820656017352858,15.435771429541365,105.78750451818274
alternating,ZH,1.859662689860755,1.5546385994599983,0.3050240904007566,16.40211916192155,102.97171892964121
alternating,Mean,1.6690446755216208,1.4024293502344785,0.2666153252871424,15.974127547174135,104.15823007082292
