scale,parameters,condition,en_test_bpb_mean,en_test_bpb_std,zh_test_bpb_mean,zh_test_bpb_std,mean_test_bpb_mean,mean_test_bpb_std,en_forgetting_bpb_mean,en_forgetting_bpb_std,zh_forgetting_bpb_mean,zh_forgetting_bpb_std,median_tokens_per_second_mean,median_tokens_per_second_std,peak_memory_gib_mean,peak_memory_gib_std
43M,43461504,en_only,1.3123776633212696,0.0003323447105890841,3.1858492639776284,0.02108224043845888,2.249113463649449,0.0103749478639347,0.0,0.0,0.0056389939346408,0.007974741700508641,68833.14297353479,71.56951479231267,17.115631103515625,0.0
43M,43461504,zh_only,2.142818734864533,0.012107609542589711,1.6411574479859385,0.007655499455124682,1.8919880914252358,0.00988155449885759,0.0,0.0,0.0,0.0,69307.90072496622,476.8130252224495,17.115631103515625,0.0
43M,43461504,iid_50,1.4130424171360705,0.008117044711327046,1.7794411263857324,0.009988431556941662,1.5962417717609014,0.009052738134134394,0.0,0.0,0.0,0.0,68811.47232295736,81.74222377655856,17.115631103515625,0.0
43M,43461504,en_first,1.7181565831318875,0.0020088298080860366,1.8225372498635077,0.00015277738503534846,1.7703469164976977,0.000928026211525462,0.3080417032840098,0.0037526746723536507,0.0,0.0,69329.9694483924,487.48831105713015,17.115631103515625,0.0
43M,43461504,zh_first,1.4239328925699368,0.0014564892206845198,2.616112606498391,0.01740712509082558,2.0200227495341636,0.007975317935070413,0.0,0.0,0.8267729096879232,0.018061984005024807,68999.8659157,102.73799345115292,17.115631103515625,0.0
43M,43461504,alternating,1.4784266611824868,0.0014758723901262968,1.859662689860755,0.005904195719256246,1.6690446755216208,0.0036900340546915066,0.01290057824498355,0.0010988439163475707,0.0,0.0,68999.89956974617,123.28565227279749,17.115631103515625,0.0
143M,143071296,en_only,1.106747459792592,0.004543243048383105,2.9757317217521533,0.012093722178920557,2.0412395907723724,0.0037752395652688436,0.0,0.0,0.0009657897231898,0.0013658329249355726,39403.60555571824,60.3085642676412,31.70631170272827,0.0
143M,143071296,zh_only,1.9844316759671616,0.0036593479566306955,1.3751493246214497,0.0011966585635744282,1.6797905002943057,0.002428003260102758,0.0,0.0,0.0,0.0,39436.77588949332,40.27345527923147,31.70631170272827,0.0
143M,143071296,iid_50,1.1973207577464169,0.008435882960702513,1.4832198982937994,0.00961774046297787,1.3402703280201083,0.00902681171184027,0.0,0.0,0.0,0.0,56081.977930821166,366.4934335873492,31.70631170272827,0.0
143M,143071296,en_first,1.6549445707593615,0.0030763768037503254,1.5016874980054993,0.006941846826360018,1.5783160343824303,0.005009111815055289,0.45683328485429014,0.0014867492803528801,0.0,0.0,56173.45016340517,388.11618571899425,31.70631170272827,0.0
143M,143071296,zh_first,1.1828817520099575,0.0006526221278475081,2.58112691568277,0.013750766324510551,1.8820043338463637,0.007201694226178834,0.0,0.0,1.0911992339514014,0.01807172668160901,39363.36616523824,56.84182274948706,31.70631170272827,0.0
143M,143071296,alternating,1.2502201010089582,0.0016883772135993745,1.5546385994599983,0.0005048485821188772,1.4024293502344785,0.0010966128978592044,0.0380506017214561,0.001487445856018485,0.0374698707398123,0.0005756964917643794,39436.80159445187,60.41022229430762,31.70631170272827,0.0
